Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,46.400002,46.869999,45.720001,45.889999,42.693928,9875272
2019-11-12,45.880001,46.380001,45.720001,45.959999,42.759052,6628529
2019-11-13,46.169998,46.980000,45.910000,46.580002,43.335876,9633279
2019-11-14,46.750000,47.230000,46.630001,46.869999,43.605675,7991607
2019-11-15,47.029999,47.099998,45.570000,45.650002,42.470646,10380055
2019-11-18,45.650002,46.160000,45.419998,45.700001,42.517162,7899658
2019-11-19,45.740002,46.209999,45.740002,46.130001,42.917217,7713901
2019-11-20,46.250000,46.439999,45.900002,46.000000,42.796268,5772016
2019-11-21,45.810001,46.490002,45.660000,46.360001,43.131195,8541407
2019-11-22,46.279999,47.959999,46.180000,46.869999,43.605675,17154829
2019-11-25,46.799999,49.150002,46.799999,48.900002,45.494297,35042041
2019-11-26,48.950001,49.759998,48.330002,49.240002,45.810616,21049260
2019-11-27,49.099998,49.419998,48.529999,48.799999,45.401260,11529801
2019-11-28,48.700001,49.860001,48.689999,49.400002,45.959473,14881718
2019-11-29,49.540001,49.680000,47.610001,48.410000,45.038422,19145898
2019-12-02,48.660000,49.549999,48.639999,49.290001,45.857132,13847237
2019-12-03,49.290001,49.369999,48.200001,49.000000,45.587330,8748490
2019-12-04,48.799999,49.080002,48.369999,48.759998,45.364044,7688760
2019-12-05,49.060001,50.150002,48.709999,49.860001,46.387436,14651204
2019-12-06,49.889999,50.650002,49.889999,50.189999,46.694450,10585575
2019-12-09,50.459999,50.799999,49.980000,50.700001,47.168934,9989791
2019-12-10,50.709999,51.990002,50.529999,51.860001,48.248142,14924351
2019-12-11,52.000000,52.049999,50.889999,51.200001,47.634106,8165520
2019-12-12,51.000000,52.419998,51.000000,52.150002,48.517948,11536583
2019-12-13,52.400002,53.290001,51.869999,51.950001,48.331875,16538837
2019-12-16,52.400002,53.750000,51.759998,53.450001,49.727406,18705905
2019-12-17,53.430000,53.650002,52.750000,53.299999,49.587852,11535783
2019-12-18,53.189999,53.250000,52.259998,52.509998,48.852867,11907777
2019-12-19,52.549999,52.820000,52.000000,52.299999,48.657497,7819673
